
Namespace(e='4', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-20 23:46:07.849677
Namespace(e='4', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-21 13:34:45.156545
Namespace(e='6', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-21 13:36:11.292030
Namespace(e='15', ims='2', lr='0.000001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 01:59:54.971857
Namespace(e='15', ims='4', lr='0.000001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 01:59:54.971903
Namespace(e='15', ims='4', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 13:26:53.178343
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 13:55:04.064379
Namespace(e='15', ims='4', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 15:39:03.782524
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 16:24:58.504633
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 18:58:54.770835
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_4/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 18:34:00.081642
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_2/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 18:34:00.310559
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 18:34:01.796749
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_4/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 18:34:03.329295
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_4/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 18:34:05.049084
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_5/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-27 19:26:41.175300
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_5/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-27 19:27:26.297564
Namespace(d='detectron2/output/lr2e_5_ims_4_wd_1e_5/', e='15', ims='4', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-27 19:27:38.257549
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_4/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 23:10:19.056195
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_4/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 23:10:19.067809
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_2/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 23:10:19.074488
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_4/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 23:10:19.074804
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 23:10:19.075371
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-28 03:42:40.418728
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_4/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-28 03:42:42.438339
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_4/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-28 03:42:43.144333
Namespace(d='detectron2/output/0.0001_4_0.0001_30/', e='30', ims='4', lr='0.0001', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-29 01:20:24.339561
Namespace(d='detectron2/output/0.0001_2_0.00001_30/', e='30', ims='2', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-29 01:20:24.367534
Namespace(d='detectron2/output/0.0001_1_0.00001_30/', e='30', ims='1', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-29 01:20:24.382094
Namespace(d='detectron2/output/0.0001_2_0.000001_30/', e='30', ims='2', lr='0.000001', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-29 01:20:24.391670
Namespace(d='detectron2/output/0.0001_2_0.00001_30/', e='30', ims='2', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-29 01:20:24.397003
Namespace(d='detectron2/output/0.0001_2_0.0001_30/', e='30', ims='2', lr='0.0001', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-29 01:20:24.397554
Namespace(d='detectron2/output/0.0001_1_0.000001_30/', e='30', ims='1', lr='0.000001', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-29 01:20:24.411214
Namespace(d='detectron2/output/0.0001_1_0.00001_30/', e='30', ims='1', lr='0.00001', n=1, p=200, roi='512', w=8, wd='0.0001', wi=0) 2021-08-29 21:08:02.738404
Namespace(d='detectron2/output/0.0001_2_0.00001_30/', e='30', ims='2', lr='0.00001', n=1, p=200, roi='512', w=8, wd='0.0001', wi=0) 2021-08-29 21:08:03.578163
Namespace(d='detectron2/output/0.0001_8_0.00001_30/', e='30', ims='8', lr='0.00001', n=1, p=200, roi='512', w=8, wd='0.0001', wi=0) 2021-08-29 21:08:03.578983
Namespace(d='detectron2/output/0.0001_2_0.00001_30/', e='30', ims='2', lr='0.00001', n=1, p=200, roi='512', w=8, wd='0.0001', wi=0) 2021-08-30 03:04:50.154317
